SiteID,DEPTH_FROM,DEPTH_TO,Sample,Weight,Description,AuPPM,AgPPM,AlPPM,AsPPM,BaPPM,BePPM,BiPPM,CaPPM,CdPPM,CePPM,CoPPM,CrPPM,CsPPM,CuPPM,FePPM,GaPPM,GePPM,HfPPM,InPPM,KPPM,LaPPM,LiPPM,MgPPM,MnPPM,MoPPM,NaPPM,NbPPM,NiPPM,PPPM,PbPPM,RbPPM,RePPM,SPPM,SbPPM,ScPPM,SePPM,SnPPM,SrPPM,TaPPM,TePPM,ThPPM,TiPPM,TlPPM,UPPM,VPPM,WPPM,YPPM,ZnPPM,ZrPPM,DyPPM,ErPPM,EuPPM,GdPPM,HoPPM,LuPPM,NdPPM,PrPPM,SmPPM,TbPPM,TmPPM,YbPPM,Al2O3PPM,BaOPPM,CaOPPM,Fe2O3PPM,K2OPPM,MgOPPM,Na2OPPM,P2O5PPM,TiO2PPM,Cr2O3PPM,MnOPPM,SrOPPM,BaOPPM,P2O5PPM,Cr2O3PPM,MnOPPM,SrOPPM,SiO2PPM,LOIPPM,TotalPPM,CPPM,HgPPM,Na/Al (Molar),K/Al (Molar)
GTK-21-01,486.6,487.8,half-NQ2,4.47,magnetite-hematite ironstone,0.007,0.03,1200,2.7,10,2.48,0.36,18700,0.05,1560,56.6,3,0.025,339,429000,21.8,1.56,0.2,0.053,0.005,510,0.6,0.05,111,2.44,200,19.3,38.6,9930,3.2,0.3,0.003,200,0.68,3.6,1,15.9,66.7,0.65,0.025,35,1160,0.01,7.6,548,3.2,142.5,4,9.2,32.6,11.7,8.9,81,4.95,0.68,636,170.5,110,8.52,1.41,6.27,0.226736,11.164951,2.616479,61.335396,0.006023,0.082914,0.026959,22753.2589,0.193492,4.38467,143.326227,78.879369,0.001116,2.275326,0.000438467,0.014333,0.007888,,,,,,0.195605409,0.028753956
GTK-21-01,487.8,489,half-NQ2,4.88,magnetite-hematite ironstone,0.007,0.01,1000,4.6,10,2.36,0.42,25800,0.03,2940,56.9,3,0.025,199.5,461000,31.4,2.79,0.1,0.055,0.005,970,0.5,0.03,123,2.8,200,20.7,50.7,14550,3.3,0.4,0.005,100,0.57,4.1,0.5,15.4,88.1,0.63,0.025,49,1450,0.01,8.9,575,3.8,285,3,3.3,60.5,21.3,17.45,143,9.18,1.23,1315,328,208,15.4,2.47,11.35,0.188946,11.164951,3.609901,65.91053,0.006023,0.049748,0.026959,,0.241865,4.38467,158.820955,104.186993,0.001116,,0.000438467,0.015882,0.010419,,,,,,0.234726491,0.034504747
GTK-21-01,489,490,half-NQ2,4.06,magnetite-hematite ironstone w/ ankerite,0.005,0.02,1300,4,10,1.11,0.5,29600,0.05,1935,63.9,5,0.025,342,432000,26.5,1.99,0.1,0.046,0.005,650,1,0.09,126,1.68,100,19.8,46,16300,4.4,0.4,0.004,200,0.55,3.8,0.5,14.6,98.8,0.62,0.025,53.8,1170,0.01,6.7,505,2.9,216,7,5.4,48.2,17,12.25,111.5,7.56,0.94,816,215,146,11.9,1.91,8.71,0.24563,11.164951,4.141592,61.764315,0.006023,0.149245,0.01348,,0.19516,7.307783,162.694636,116.840804,0.001116,,0.000730778,0.016269,0.011684,,,,,,0.09027942,0.026542113
GTK-21-01,490,491,half-NQ2,4.2,magnetite-hematite ironstone,0.005,0.02,1100,3.2,10,1.01,0.29,20900,0.03,1320,71.2,1,0.025,476,476000,21.6,1.36,0.2,0.047,0.005,437,0.8,0.08,100,1.97,100,20.8,49.3,11100,2.9,0.2,0.002,300,0.53,3.8,0.5,14.7,55.7,0.69,0.025,35.7,1280,0.01,5.3,550,2.6,157,6,8.3,34.6,11.6,7.87,76.1,5.1,0.66,541,142.5,97.3,8.46,1.34,6.29,0.207841,11.164951,2.9243,68.055125,0.006023,0.132662,0.01348,,0.213508,1.461557,129.122727,65.870777,0.001116,,0.000146156,0.012912,0.006587,,,,,,0.106693859,0.031367952
GTK-21-01,491,492,half-NQ2,4.3,magnetite-hematite ironstone,0.005,0.02,1200,3.9,10,1.43,0.4,23700,0.03,2110,55.2,2,0.025,417,489000,27,2.06,0.05,0.045,0.005,710,0.9,0.08,101,2.13,100,20.6,48.9,12500,3.9,0.3,0.006,200,0.63,3.9,0.5,16.2,78.8,0.56,0.025,46.4,1550,0.01,8.2,601,2.1,202,5,2,48,16.25,12,108.5,7.28,0.95,858,229,151,11.4,1.93,8.53,0.226736,11.164951,3.316072,69.913773,0.006023,0.132662,0.01348,,0.258545,2.923113,130.413955,93.18882,0.001116,,0.000292311,0.013041,0.009319,,,,,,0.097802704,0.028753956
GTK-21-01,492,493,half-NQ2,4.2,magnetite-hematite ironstone,0.005,0.04,1100,3,10,1.28,1.19,25700,0.01,1545,37.4,5,0.025,480,354000,21,1.52,0.05,0.051,0.005,520,0.8,0.06,101,1.77,100,11.9,35.7,13150,3.3,0.4,0.004,200,0.55,3.4,0.5,11.3,78.9,0.32,0.025,45.3,1110,0.01,6.3,416,2,273,4,2,54.1,21.9,9.46,93.4,9.27,1.28,644,171.5,117,11.5,2.7,12.85,0.207841,11.164951,3.595909,50.612425,0.006023,0.099497,0.01348,,0.185152,7.307783,130.413955,93.30708,0.001116,,0.000730778,0.013041,0.009331,,,,,,0.106693859,0.031367952
GTK-21-01,493,494,half-NQ2,3.96,magnetite-hematite ironstone,0.006,0.06,1000,3.7,10,1.09,8.23,22700,0.02,1295,23.4,2,0.025,2410,393000,18.1,1.31,0.05,0.114,0.01,428,0.7,0.03,109,5.54,100,18.8,22.9,12350,4.8,0.3,0.003,800,0.54,3.5,1,17.7,85.5,0.54,0.025,36.9,1730,0.01,5.4,514,2,198.5,4,2.3,42.8,16.45,8.1,82,7.17,0.92,524,139.5,98.4,9.52,1.89,8.85,0.188946,11.164951,3.176153,56.18837,0.012046,0.049748,0.01348,,0.28857,2.923113,140.743773,101.112235,0.001116,,0.000292311,0.014074,0.010111,,,,,,0.117363245,0.069009494
GTK-21-01,494,495.05,half-NQ2,3.78,magnetite-hematite ironstone,0.005,0.03,4900,3.8,20,1.4,0.4,34000,0.02,1840,30.6,3,0.1,397,401000,25.1,1.82,0.1,0.103,0.3,620,2.1,0.13,215,1.99,200,18.7,35.5,17850,5,6.2,0.003,200,0.77,4,0.5,20.1,97.4,0.49,0.025,52.1,1720,0.01,6.8,483,3.6,203,8,3.4,47.6,15.8,10.9,104,7.19,0.89,766,203,137,11.7,1.82,8.71,0.925837,22.329902,4.757234,57.332153,0.361382,0.215576,0.026959,,0.286902,4.38467,277.613864,115.185165,0.002233,,0.000438467,0.027761,0.011519,,,,,,0.047903365,0.422507106
GTK-21-01,495.05,495.81,half-NQ2,1.84,khaki (weathered chloritic?) volcanic w/ mt-hem veining [0.5m core loss below],0.008,0.03,54200,2.6,160,5.67,2.87,21500,0.02,1410,29.2,3,0.64,297,204000,35.8,1.36,5.2,0.265,4.51,470,10.9,0.39,125,0.85,700,17.5,30.6,10800,5.4,81.7,0.003,100,1.15,8.8,1,10.7,77,0.7,0.025,31.8,4650,0.14,8.7,201,8,93.5,18,224,25.2,7.88,8.02,70.3,3.46,0.59,573,153,101.5,7.04,0.98,4.97,10.240888,178.639216,3.008251,29.166482,5.432773,0.646728,0.094358,,0.775636,4.38467,161.403409,91.060141,0.017864,,0.000438467,0.01614,0.009106,,,,,,0.015157615,0.574230292
GTK-21-01,496.29,497,half-NQ2,1.8,khaki (weathered chloritic?) volcanic [0.5m core loss above],0.007,0.12,61200,1.1,170,10.3,0.66,10700,0.02,269,33.3,3,0.54,2950,213000,30.3,0.4,5,0.252,4.48,116.5,13.7,0.37,127,7.09,1000,11.3,23.9,5090,4.1,72.2,0.001,1000,0.68,6.9,1,7.7,79.7,0.48,0.025,7.13,4500,0.13,4.9,132,6.1,31.2,19,232,6.89,3.23,1.83,14.85,1.18,0.35,120.5,32.1,21.4,1.62,0.46,2.73,11.563511,189.804167,1.49713,30.453239,5.396635,0.613562,0.134797,11663.05013,0.750616,4.38467,163.985864,94.253159,0.01898,1.166305,0.000438467,0.016399,0.009425,,,,,,0.019177001,0.505167538
