PROJECT,SiteID,DEPTH_FROM,DEPTH_TO,SampleID,CuPPM,AuPPM,AgPPM,UPPM,FePPM,AsPPM,AlPPM,BaPPM,BiPPM,CaPPM,CdPPM,CePPM,CoPPM,CrPPM,CsPPM,DyPPM,ErPPM,EuPPM,GaPPM,GdPPM,HfPPM,HoPPM,InPPM,KPPM,LaPPM,LuPPM,MgPPM,MnPPM,MoPPM,NaPPM,NbPPM,NdPPM,NiPPM,PPPM,PrPPM,PbPPM,RbPPM,SbPPM,ScPPM,SePPM,SmPPM,SnPPM,SPPM,SiPPM,SrPPM,TaPPM,TbPPM,TePPM,ThPPM,TiPPM,TmPPM,WPPM,VPPM,YPPM,YbPPM,ZnPPM,ZrPPM
SAR,DD21LAR007,172,174,D2002827,30,0.005,0.1,5.5,24000,6,29900,367,0.05,160000,0.05,37,7.8,25,2.9,2,0.5,0.25,16,3,2,0.5,0.25,20900,21,0.25,64000,5980,0.5,1050,2,14,5,200,4,10,67.5,0.25,8,1,3,2.5,1550,90700,37.4,0.2,0.25,0.1,7,1750,0.25,1.5,40,17,0.5,10,80
SAR,DD21LAR007,197.5,200,D2002842,30,0.005,0.1,4,28100,8,31700,197,0.2,145000,0.05,60,5.8,30,2.2,4,2,1,14,5,2,0.5,0.25,18900,29,0.25,81900,5140,2,1950,3,25,5,200,7,5,78,0.25,8,1,5,2.5,800,104000,36.6,0.1,0.25,0.1,7,1550,0.25,1.5,25,23,0.5,5,60
SAR,DD21CAL011,380,380.9,D2003147,20,0.01,0.1,0.5,28100,4,15700,75,0.05,6300,0.05,30,14,45,1.2,1,0.5,0.25,5,2,1,0.5,0.25,6350,13,0.25,6100,340,0.5,750,4.5,12,20,50,3.5,5,39,0.5,2,1,2,2.5,2300,412000,7.4,0.1,0.25,0.1,3,600,0.25,1.5,20,5,0.5,10,20
SAR,DD21LAR007,190,192,D2002836,20,0.005,0.1,3,23100,8,25400,276,0.05,169000,0.05,33,5.6,20,2.3,2,0.5,0.25,14,3,2,0.5,0.25,16200,17,0.25,89200,6140,2,1700,2.5,12,5,200,3.5,5,49,0.25,8,1,3,2.5,1400,81400,25.8,0.1,0.25,0.1,5.5,1450,0.25,6,20,15,0.5,5,55
SAR,DD21DOR001,235,236.9,D2003838,20,0.005,0.1,16,19500,6,65800,1000,0.05,11200,0.05,59,3.8,20,8.2,2.5,0.5,1,20,3,5.5,0.5,0.25,25500,31,0.25,5400,480,1,26800,20,22,5,300,6.5,5,302,0.25,4,1,4,10,400,325000,131,0.9,0.25,0.1,31.5,850,0.25,1.5,15,14,0.5,20,135
SAR,DD21LAR007,174,176,D2002828,40,0.005,0.1,6.5,29300,6,29800,275,0.05,150000,0.05,22,7.2,20,2.6,2,2,0.25,17,2,2,0.5,0.25,21500,10,0.25,73300,10600,0.5,1800,2.5,10,5,300,2.5,5,57,0.25,6,1,2,2.5,1350,94600,29.4,0.2,0.25,0.1,6,1550,0.25,1.5,30,17,0.5,10,75
SAR,DD21LAR007,200,201.23,D2002843,70,0.005,0.1,3.5,25800,8,26600,110,0.3,148000,0.05,45,5.6,30,1.5,2.5,2,1,12,4,1.5,0.5,0.25,17000,20,0.25,81400,4640,0.5,3200,3,19,5,200,5.5,10,53.5,0.25,8,1,4,2.5,1000,91300,40.2,0.2,0.25,0.1,6,1500,0.25,1.5,20,20,0.5,20,50
SAR,DD21LOL001,376,377,D2003504,70,0.005,0.1,1,194000,1,50700,716,0.05,6750,0.05,97,10,50,1.7,4,2,1,17,6,4,0.5,0.25,21500,51,0.25,11000,1740,0.5,10900,7,39,10,1000,10,5,109,0.25,8,1,7,2.5,100,239000,73.2,0.2,0.25,0.1,19,2450,0.25,1.5,45,19,2,20,160
SAR,DD21LOL001,514,515.6,D2003651,5,0.01,0.1,2,232000,1,49700,457,0.05,7600,0.05,71,9.8,55,5.1,4.5,2,1,23,5,3,0.5,0.25,18200,36,0.25,11500,2000,0.5,6850,8.5,29,20,1100,8,10,133,0.25,8,1,6,2.5,150,222000,56.8,0.2,0.25,0.1,12,2250,0.25,1.5,65,23,2,40,100
SAR,DD21LOL001,255,256,D2003373,5,0.01,0.1,3.5,252000,1,61600,542,0.05,5700,0.05,76,20.2,80,2.8,5,3,1,22,6,4.5,0.5,0.25,23100,39,0.25,23400,2840,0.5,550,5.5,29,20,1200,8.5,5,184,0.25,12,1,4,10,200,192000,38.6,0.1,1,0.1,16.5,3100,0.25,1.5,80,26,2,100,145
SAR,DD21LOL001,393,394,D2003522,5,0.005,0.1,1.5,198000,1,52700,980,0.05,8050,0.05,83,12.4,55,3.8,4.5,2,1,24,6,3,0.5,0.25,26100,41,0.25,12700,2500,0.5,9350,12,35,10,1200,9,5,149,0.25,6,1,7,5,200,235000,50.6,0.05,1,0.1,17.5,2500,0.25,1.5,50,23,0.5,30,110
