PROJECT,SiteID,DEPTH_FROM,DEPTH_TO,SampleID,CuPPM,AuPPM,AgPPM,UPPM,FePPM,AsPPM,AlPPM,BaPPM,BiPPM,CaPPM,CdPPM,CePPM,CoPPM,CrPPM,CsPPM,DyPPM,ErPPM,EuPPM,FPPM,GaPPM,GdPPM,HfPPM,HoPPM,InPPM,KPPM,LaPPM,LuPPM,MgPPM,MnPPM,MoPPM,NaPPM,NbPPM,NdPPM,NiPPM,PPPM,PrPPM,PbPPM,RbPPM,SbPPM,ScPPM,SePPM,SmPPM,SnPPM,SPPM,SiPPM,SrPPM,TaPPM,TbPPM,TePPM,ThPPM,TiPPM,TmPPM,WPPM,VPPM,YPPM,YbPPM,ZnPPM,ZrPPM,PtPPM,PdPPM
SAR,DD21CAL011,169.2,170.0,D2002989,5.0,0.005,0.1,3.5,54400.0,1.0,84300.0,452.0,0.05,3250.0,0.05,70.0,12.0,70.0,3.3,4.5,2.0,1.0,,20.0,5.0,3.0,0.5,0.25,32800.0,35.0,0.25,17400.0,260.0,0.5,2300.0,4.0,28.0,30.0,500.0,8.0,5.0,151.0,0.25,16.0,1.0,5.0,2.5,350.0,293000.0,10.6,0.1,0.25,0.1,15.5,3600.0,0.25,6.0,85.0,24.0,3.0,10.0,135.0,,
SAR,DD21CAL011,170.0,171.0,D2002990,20.0,0.005,0.1,3.0,61200.0,1.0,87500.0,452.0,0.05,4100.0,0.05,91.0,14.2,75.0,3.7,5.5,3.0,1.5,,21.0,6.0,4.0,0.5,0.25,31900.0,44.0,0.25,19100.0,300.0,0.5,2550.0,4.0,39.0,30.0,700.0,10.5,10.0,141.0,0.25,16.0,1.0,6.0,2.5,400.0,287000.0,13.0,0.4,1.0,0.1,18.0,3650.0,0.25,6.0,85.0,28.0,2.0,10.0,140.0,,
SAR,DD21CAL011,171.0,172.0,D2002991,40.0,0.005,0.1,3.0,60300.0,4.0,79000.0,512.0,0.05,4900.0,0.05,96.0,16.6,70.0,4.0,5.0,3.0,1.5,,19.0,6.0,4.0,0.5,0.25,30100.0,44.0,0.25,20700.0,300.0,2.0,2300.0,4.0,38.0,30.0,700.0,10.5,5.0,137.0,0.25,16.0,1.0,6.0,2.5,650.0,287000.0,16.4,0.4,1.0,0.1,16.5,3300.0,0.25,6.0,80.0,28.0,3.0,10.0,130.0,,
SAR,DD21CAL011,172.0,173.0,D2002992,30.0,0.005,0.1,3.5,69100.0,1.0,90600.0,671.0,0.05,2850.0,0.05,93.0,14.6,80.0,4.1,5.5,3.0,1.5,,21.0,7.0,4.0,0.5,0.25,37800.0,45.0,0.25,20900.0,280.0,0.5,2400.0,5.0,39.0,30.0,500.0,11.0,5.0,189.0,0.25,18.0,1.0,6.0,2.5,550.0,272000.0,16.0,0.3,1.0,0.1,19.5,3750.0,0.25,1.5,90.0,30.0,3.0,10.0,145.0,,
SAR,DD21CAL011,173.0,174.0,D2002993,5.0,0.005,0.1,2.5,63600.0,1.0,81100.0,423.0,0.05,4300.0,0.05,91.0,14.4,70.0,3.6,5.0,3.0,1.5,,19.0,6.0,4.0,0.5,0.25,28100.0,43.0,0.25,21900.0,260.0,0.5,3400.0,5.0,37.0,30.0,600.0,10.5,5.0,124.0,0.25,16.0,1.0,6.0,2.5,500.0,286000.0,13.0,0.3,1.0,0.1,16.5,3350.0,0.25,1.5,80.0,29.0,3.0,10.0,125.0,,
SAR,DD21CAL011,174.0,175.0,D2002994,100.0,0.005,0.2,2.5,79700.0,4.0,73600.0,599.0,0.1,5750.0,0.05,72.0,17.2,65.0,4.1,5.0,3.0,1.0,,17.0,5.0,4.0,0.5,0.25,26800.0,36.0,0.25,25100.0,340.0,0.5,3150.0,4.5,32.0,30.0,500.0,8.0,10.0,128.0,0.25,14.0,1.0,5.0,2.5,950.0,272000.0,16.0,0.2,1.0,0.1,14.5,3150.0,0.25,1.5,80.0,24.0,2.0,30.0,125.0,,
SAR,DD21CAL011,175.0,176.0,D2002995,20.0,0.01,0.2,2.0,78800.0,8.0,77800.0,429.0,0.1,6300.0,0.05,74.0,14.6,65.0,4.7,5.0,3.0,1.0,,17.0,5.0,3.0,0.5,0.25,30000.0,36.0,0.25,21800.0,320.0,0.5,2200.0,4.0,30.0,30.0,600.0,8.5,10.0,138.0,0.25,14.0,1.0,5.0,2.5,900.0,280000.0,17.8,0.2,0.25,0.1,15.0,3250.0,0.25,1.5,80.0,23.0,2.0,10.0,125.0,,
SAR,DD21CAL011,176.0,177.0,D2002996,5.0,0.005,0.1,2.5,57100.0,1.0,85100.0,462.0,0.05,2650.0,0.05,77.0,12.4,70.0,5.4,4.5,3.0,1.0,,20.0,5.0,4.0,0.5,0.25,33900.0,36.0,0.25,21100.0,220.0,0.5,2850.0,4.5,33.0,30.0,500.0,8.5,5.0,164.0,0.25,16.0,1.0,5.0,2.5,400.0,292000.0,13.4,0.2,0.25,0.1,17.0,3500.0,0.25,6.0,80.0,25.0,3.0,10.0,135.0,,
SAR,DD21CAL011,177.0,178.0,D2002997,5.0,0.005,0.1,3.0,58200.0,1.0,86900.0,536.0,0.05,3050.0,0.05,90.0,12.0,75.0,6.4,6.0,3.0,1.5,,21.0,6.0,4.0,0.5,0.25,35900.0,43.0,0.25,20200.0,240.0,0.5,3000.0,4.5,36.0,30.0,600.0,10.0,5.0,182.0,0.25,16.0,1.0,7.0,2.5,350.0,293000.0,12.2,0.2,1.0,0.1,18.0,3650.0,0.25,6.0,85.0,29.0,3.0,10.0,145.0,,
SAR,DD21CAL011,178.0,179.0,D2002998,5.0,0.005,0.2,4.5,60500.0,8.0,84800.0,462.0,0.1,6750.0,0.05,94.0,12.4,70.0,6.5,6.0,4.0,1.5,,21.0,6.0,3.5,0.5,0.25,33600.0,46.0,0.25,19600.0,300.0,0.5,2350.0,5.0,38.0,30.0,500.0,10.5,5.0,173.0,0.25,16.0,1.0,7.0,5.0,600.0,288000.0,13.2,0.2,1.0,0.1,18.5,3450.0,0.25,1.5,80.0,32.0,3.0,20.0,130.0,,
SAR,DD21CAL011,179.0,180.45,D2002999,40.0,0.005,0.8,2.5,70300.0,1.0,79900.0,385.0,0.05,5600.0,0.05,135.0,11.8,60.0,6.4,6.0,3.0,2.5,,20.0,8.0,4.0,0.5,0.25,29500.0,68.0,0.25,25200.0,280.0,0.5,3700.0,6.0,59.0,30.0,600.0,16.0,10.0,132.0,0.25,16.0,1.0,10.0,5.0,400.0,282000.0,14.6,0.3,1.0,0.1,19.5,4050.0,0.25,6.0,100.0,30.0,3.0,20.0,135.0,,
SAR,DD21CAL011,180.45,181.0,D2003000,380.0,0.01,0.1,2.0,106000.0,12.0,70100.0,341.0,0.05,22400.0,0.05,75.0,34.4,20.0,2.8,10.0,5.0,3.0,,23.0,9.0,7.0,2.0,0.25,21700.0,34.0,0.5,34300.0,1260.0,0.5,13400.0,9.0,44.0,30.0,1600.0,9.5,20.0,71.5,0.25,26.0,2.0,9.0,2.5,550.0,218000.0,81.4,0.3,1.5,0.1,7.5,19000.0,0.25,1.5,370.0,46.0,5.0,60.0,285.0,,
SAR,DD21CAL011,181.0,182.45,D2003002,380.0,0.01,0.1,1.5,107000.0,14.0,66300.0,254.0,0.05,38200.0,0.05,73.0,36.6,15.0,1.9,10.5,5.0,3.0,,24.0,10.0,7.0,2.0,0.25,8150.0,33.0,0.5,28500.0,1680.0,0.5,16800.0,10.0,42.0,30.0,1500.0,9.5,5.0,37.5,0.25,28.0,2.0,10.0,2.5,450.0,214000.0,117.0,0.2,2.0,0.1,6.0,19800.0,0.25,1.5,385.0,47.0,4.0,90.0,295.0,,
SAR,DD21CAL011,182.45,183.0,D2003003,150.0,0.005,0.1,4.5,67200.0,10.0,80900.0,723.0,0.05,7050.0,0.05,76.0,16.2,60.0,7.8,6.0,3.0,1.5,,21.0,6.0,4.5,0.5,0.25,43000.0,36.0,0.25,28600.0,440.0,0.5,7850.0,8.0,33.0,30.0,800.0,9.0,5.0,215.0,0.25,18.0,1.0,6.0,2.5,550.0,264000.0,30.0,0.2,1.0,0.1,14.0,6150.0,0.25,1.5,155.0,30.0,3.0,20.0,160.0,,
SAR,DD21CAL011,183.0,184.0,D2003004,5.0,0.005,0.1,5.0,43400.0,1.0,85300.0,681.0,0.05,2300.0,0.05,104.0,10.2,70.0,9.4,6.5,4.0,1.5,,18.0,7.0,4.0,0.5,0.25,46800.0,52.0,0.25,23900.0,140.0,0.5,6600.0,5.5,43.0,30.0,500.0,11.5,5.0,182.0,0.25,16.0,1.0,8.0,5.0,300.0,288000.0,25.6,0.2,1.0,0.1,17.5,3600.0,0.25,6.0,90.0,31.0,3.0,10.0,135.0,,
SAR,DD21CAL011,184.0,185.0,D2003005,100.0,0.005,0.1,4.0,68500.0,4.0,89400.0,534.0,0.05,1950.0,0.1,107.0,13.2,75.0,12.9,5.0,3.0,1.5,,21.0,7.0,4.0,0.5,0.25,47200.0,54.0,0.25,22900.0,220.0,2.0,3050.0,6.5,45.0,20.0,600.0,12.5,5.0,301.0,0.25,18.0,1.0,7.0,2.5,300.0,265000.0,13.4,0.2,1.0,0.1,17.5,3850.0,0.25,6.0,105.0,28.0,3.0,10.0,150.0,,
SAR,DD21CAL011,185.0,186.0,D2003006,700.0,0.01,0.1,2.5,71300.0,8.0,70900.0,320.0,0.2,3450.0,0.05,189.0,14.4,70.0,8.4,7.0,4.0,3.0,,16.0,10.0,3.0,0.5,0.25,32600.0,98.0,0.25,20400.0,260.0,0.5,2400.0,5.5,81.0,30.0,700.0,22.0,10.0,206.0,0.25,12.0,1.0,14.0,2.5,1050.0,295000.0,11.6,0.2,1.5,0.1,27.0,3100.0,0.25,1.5,80.0,32.0,2.0,20.0,125.0,,
SAR,DD21CAL011,186.0,187.0,D2003007,60.0,0.005,0.1,2.0,66000.0,6.0,67700.0,301.0,0.05,6150.0,0.05,41.0,10.4,70.0,7.7,4.5,3.0,0.5,,16.0,4.0,3.0,0.5,0.25,27300.0,20.0,0.25,22300.0,260.0,4.0,3250.0,5.0,18.0,30.0,600.0,5.0,5.0,162.0,0.25,14.0,1.0,3.0,2.5,550.0,298000.0,13.2,0.2,0.25,0.1,11.0,3200.0,0.25,1.5,80.0,26.0,3.0,20.0,110.0,,
SAR,DD21CAL011,187.0,188.0,D2003008,20.0,0.005,0.1,2.5,67500.0,4.0,82200.0,400.0,0.05,3450.0,0.05,88.0,9.8,75.0,8.5,5.5,3.0,1.0,,21.0,6.0,4.5,0.5,0.25,35800.0,43.0,0.25,19600.0,200.0,0.5,3000.0,6.0,37.0,30.0,600.0,10.0,5.0,193.0,0.25,16.0,1.0,5.0,5.0,300.0,286000.0,12.6,0.2,1.0,0.1,16.5,3350.0,0.25,6.0,80.0,28.0,3.0,10.0,130.0,,
SAR,DD21CAL011,188.0,189.0,D2003009,20.0,0.005,0.1,3.0,66900.0,1.0,82600.0,447.0,0.05,2050.0,0.05,116.0,11.6,70.0,9.1,5.0,3.0,1.5,,20.0,7.0,4.0,0.5,0.25,36200.0,58.0,0.25,19100.0,160.0,0.5,3150.0,5.5,46.0,30.0,600.0,13.0,5.0,207.0,0.25,16.0,1.0,8.0,5.0,400.0,290000.0,11.8,0.2,1.0,0.1,18.5,3300.0,0.25,6.0,80.0,27.0,3.0,10.0,130.0,,
