PROJECT,SiteID,DEPTH_FROM,DEPTH_TO,SampleID,CuPPM,AuPPM,AgPPM,UPPM,FePPM,AsPPM,AlPPM,BaPPM,BiPPM,CaPPM,CdPPM,CePPM,CoPPM,CrPPM,CsPPM,DyPPM,ErPPM,EuPPM,FPPM,GaPPM,GdPPM,HfPPM,HoPPM,InPPM,KPPM,LaPPM,LuPPM,MgPPM,MnPPM,MoPPM,NaPPM,NbPPM,NdPPM,NiPPM,PPPM,PrPPM,PbPPM,RbPPM,SbPPM,ScPPM,SePPM,SmPPM,SnPPM,SPPM,SiPPM,SrPPM,TaPPM,TbPPM,TePPM,ThPPM,TiPPM,TmPPM,WPPM,VnPPM,VPPM,YPPM,YbPPM,ZnPPM,ZrPPM,PtPPM,PdPPM
SAR,DD21CAL011,169.2,170,D2002989,5,0.005,0.1,3.5,54400,1,84300,452,0.05,3250,0.05,70,12,70,3.3,4.5,2,1,,20,5,3,0.5,0.25,32800,35,0.25,17400,260,0.5,2300,4,28,30,500,8,5,151,0.25,16,1,5,2.5,350,293000,10.6,0.1,0.25,0.1,15.5,3600,0.25,6,,85,24,3,10,135,,
SAR,DD21CAL011,170,171,D2002990,20,0.005,0.1,3,61200,1,87500,452,0.05,4100,0.05,91,14.2,75,3.7,5.5,3,1.5,,21,6,4,0.5,0.25,31900,44,0.25,19100,300,0.5,2550,4,39,30,700,10.5,10,141,0.25,16,1,6,2.5,400,287000,13,0.4,1,0.1,18,3650,0.25,6,,85,28,2,10,140,,
SAR,DD21CAL011,171,172,D2002991,40,0.005,0.1,3,60300,4,79000,512,0.05,4900,0.05,96,16.6,70,4,5,3,1.5,,19,6,4,0.5,0.25,30100,44,0.25,20700,300,2,2300,4,38,30,700,10.5,5,137,0.25,16,1,6,2.5,650,287000,16.4,0.4,1,0.1,16.5,3300,0.25,6,,80,28,3,10,130,,
SAR,DD21CAL011,172,173,D2002992,30,0.005,0.1,3.5,69100,1,90600,671,0.05,2850,0.05,93,14.6,80,4.1,5.5,3,1.5,,21,7,4,0.5,0.25,37800,45,0.25,20900,280,0.5,2400,5,39,30,500,11,5,189,0.25,18,1,6,2.5,550,272000,16,0.3,1,0.1,19.5,3750,0.25,1.5,,90,30,3,10,145,,
SAR,DD21CAL011,173,174,D2002993,5,0.005,0.1,2.5,63600,1,81100,423,0.05,4300,0.05,91,14.4,70,3.6,5,3,1.5,,19,6,4,0.5,0.25,28100,43,0.25,21900,260,0.5,3400,5,37,30,600,10.5,5,124,0.25,16,1,6,2.5,500,286000,13,0.3,1,0.1,16.5,3350,0.25,1.5,,80,29,3,10,125,,
SAR,DD21CAL011,174,175,D2002994,100,0.005,0.2,2.5,79700,4,73600,599,0.1,5750,0.05,72,17.2,65,4.1,5,3,1,,17,5,4,0.5,0.25,26800,36,0.25,25100,340,0.5,3150,4.5,32,30,500,8,10,128,0.25,14,1,5,2.5,950,272000,16,0.2,1,0.1,14.5,3150,0.25,1.5,,80,24,2,30,125,,
SAR,DD21CAL011,175,176,D2002995,20,0.01,0.2,2,78800,8,77800,429,0.1,6300,0.05,74,14.6,65,4.7,5,3,1,,17,5,3,0.5,0.25,30000,36,0.25,21800,320,0.5,2200,4,30,30,600,8.5,10,138,0.25,14,1,5,2.5,900,280000,17.8,0.2,0.25,0.1,15,3250,0.25,1.5,,80,23,2,10,125,,
SAR,DD21CAL011,176,177,D2002996,5,0.005,0.1,2.5,57100,1,85100,462,0.05,2650,0.05,77,12.4,70,5.4,4.5,3,1,,20,5,4,0.5,0.25,33900,36,0.25,21100,220,0.5,2850,4.5,33,30,500,8.5,5,164,0.25,16,1,5,2.5,400,292000,13.4,0.2,0.25,0.1,17,3500,0.25,6,,80,25,3,10,135,,
SAR,DD21CAL011,177,178,D2002997,5,0.005,0.1,3,58200,1,86900,536,0.05,3050,0.05,90,12,75,6.4,6,3,1.5,,21,6,4,0.5,0.25,35900,43,0.25,20200,240,0.5,3000,4.5,36,30,600,10,5,182,0.25,16,1,7,2.5,350,293000,12.2,0.2,1,0.1,18,3650,0.25,6,,85,29,3,10,145,,
SAR,DD21CAL011,178,179,D2002998,5,0.005,0.2,4.5,60500,8,84800,462,0.1,6750,0.05,94,12.4,70,6.5,6,4,1.5,,21,6,3.5,0.5,0.25,33600,46,0.25,19600,300,0.5,2350,5,38,30,500,10.5,5,173,0.25,16,1,7,5,600,288000,13.2,0.2,1,0.1,18.5,3450,0.25,1.5,,80,32,3,20,130,,
SAR,DD21CAL011,179,180.45,D2002999,40,0.005,0.8,2.5,70300,1,79900,385,0.05,5600,0.05,135,11.8,60,6.4,6,3,2.5,,20,8,4,0.5,0.25,29500,68,0.25,25200,280,0.5,3700,6,59,30,600,16,10,132,0.25,16,1,10,5,400,282000,14.6,0.3,1,0.1,19.5,4050,0.25,6,,100,30,3,20,135,,
